parcela,arvore,comum,cientifico,familia,dap2012,hcom,ht,vertical,luminosidade
T03,170,inga,Inga marginata,Fabaceae,38,15.96,24.65,C,2
T03,171,mapatirana,Pourouma villosa,Urticaceae,40.4,17.38,29.89,C,2
T03,172,breu vermelho,Protium hebetatum,Burseraceae,36.1,24.08,33.68,C,2
T03,173,jatereu,Lecythis idatimon,Lecythidaceae,37.3,20.7,28.94,C,2
T03,174,iperana,Eperua bijuga,Fabaceae,36.5,20.79,31.64,C,2
T03,175,iperana,Eperua bijuga,Fabaceae,36.5,20.56,29.21,C,2
T03,177,matamata preto,Eschweilera ovata,Lecythidaceae,35.6,21.22,29.68,C,1
T03,178,breu vermelho,Protium hebetatum,Burseraceae,48.5,22.05,29.02,C,1
T03,179,pente-de-macaco,Apeiba petoumo,Malvaceae,42.2,24.14,29.47,S,2
T03,180,mapatirana,Pourouma minor,Urticaceae,41.1,21.5,28.89,C,1
T03,181,barrote,Tetragastris altissima,Burseraceae,52.5,18.53,28.73,C,2
T03,182,matamata preto,Eschweilera ovata,Lecythidaceae,52.2,19.3,32.52,C,1
T03,183,abiurana,Pouteria gongrijpii,Sapotaceae,45.7,12.13,19.41,S,1
T03,184,abiurana,Pouteria gongrijpii,Sapotaceae,43.9,19.45,30.01,C,2
T03,185,tauari,Couratari stellata,Lecythidaceae,50,24.09,37.17,C,1
T03,186,axixa,Sterculia pruriens,Malvaceae,46.5,19.15,28.55,C,1
T03,187,matamata branco,Eschweilera coriacea,Lecythidaceae,46.5,24.53,35.72,S,2
T03,188,matamata,Eschweilera parviflora,Lecythidaceae,44,11.02,13.63,S,1
T04,2,breu branco,Protium paniculatum,Burseraceae,17.3,11.84,19.23,S,3
T04,3,morta,NA,NA,20.6,NA,8.44,NA,NA
T04,4,andirobarana,Guarea guidonia,Meliaceae,35.6,13.65,25.09,C,2
T04,5,matamata preto,Eschweilera ovata,Lecythidaceae,17.3,7.62,14.99,S,2
T04,8,caramuxi,Pouteria hispida,Sapotaceae,14.7,10.07,17.87,S,3
T04,10,mapatirana,Pourouma villosa,Urticaceae,10,8.72,13.03,S,3
T04,11,capueiro,Rinorea guianensis,Violaceae,15.6,8.47,17.12,S,2
T04,12,piquiarana,Caryocar glabrum,Caryocaraceae,54,14.53,24.79,S,2
T04,13,angelim vermelho,Dinizia excelsa,Fabaceae,200,39.54,63.85,S,1
T04,14,matamata branco,Eschweilera coriacea,Lecythidaceae,19,14.16,22.76,S,2
T04,17,morta,NA,NA,28.9,NA,18.44,NA,NA
T04,18,matamata,Eschweilera amazonica,Lecythidaceae,14.5,8.35,14.17,S,2
T04,19,breu branco,Protium paniculatum,Burseraceae,11.6,6.94,10.65,S,2
T04,22,ucurana,Sloanea guianensis,Elaeocarpaceae,30.1,12.37,21.82,C,2
T04,25,pau-jacare,Laetia procera,Salicaceae,31.9,6.22,8.93,S,2
T04,27,angelim rajado,Zygia racemosa,Fabaceae,12.5,8.44,15.46,S,2
T04,29,barrote,Tetragastris altissima,Burseraceae,20.1,10.09,18.6,S,2
T04,30,morta,NA,NA,51.5,NA,11.3,NA,NA
T04,31,matamata branco,Eschweilera coriacea,Lecythidaceae,13.6,5.72,11.8,S,2
T04,32,morta,NA,NA,28.5,NA,8.16,NA,NA
T04,34,canela-de-jacamim,Rinorea pubiflora,Violaceae,10.2,3.34,5.07,S,3
T04,35,anani,Symphonia globulifera,Clusiaceae,40.4,20.1,29.97,C,2
T04,36,abiurana,Pouteria gongrijpii,Sapotaceae,17.6,4.59,6.72,S,3
T04,41,abiurana,Pouteria gongrijpii,Sapotaceae,15.7,7.75,16.29,S,3
T04,42,muirapiranga,Brosimum rubescens,Moraceae,55,17.85,27.84,C,2
T04,44,louro preto,Nectandra cuspidata,Lauraceae,65,22.11,37.8,C,2
T04,45,jatereu,Lecythis idatimon,Lecythidaceae,30,11.56,21.9,S,3
T04,46,matamata branco,Eschweilera coriacea,Lecythidaceae,16.7,15.55,23.7,S,2
T04,47,cajuacu,Anacardium spruceanum,Anacardiaceae,72.5,24.54,38.87,C,2
T04,50,jatereu,Lecythis idatimon,Lecythidaceae,23.1,19.07,23.52,C,2
T04,52,abiu cutite,NA,NA,16.8,9.71,13.94,S,3
T04,53,abiu cutite,NA,NA,12,10.81,13.85,S,3
T04,56,abiurana,Pouteria gongrijpii,Sapotaceae,29.4,19.85,30.79,C,2
T04,57,iperana,Eperua bijuga,Fabaceae,16.4,17.35,25.63,S,3
T04,58,uxirana,Sacoglottis guianensis,Humiriaceae,50.6,22.53,35.62,C,2
T04,60,tachi vermelho,Tachigali paniculata,Fabaceae,72.7,22.19,38.64,S,2
T04,62,casca seca,Licania canescens,Chrysobalanaceae,40.7,11.59,24.15,C,2
T04,63,matamata,Eschweilera parviflora,Lecythidaceae,40.8,19.53,31.4,C,2
T04,66,breu branco,Protium paniculatum,Burseraceae,14,2.33,24.55,S,3
T04,67,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,80,27.39,47.29,C,2
T04,68,ucuuba,Virola michelii,Myristicaceae,19,19.33,22.49,S,3
T04,69,caramuxi,Pouteria hispida,Sapotaceae,46.3,21.42,28.14,C,2
T04,70,iperana,Eperua bijuga,Fabaceae,10.1,13.31,17.04,S,3
T04,71,barrote,Tetragastris altissima,Burseraceae,51.9,26.67,38.2,C,2
T04,73,abiurana,Pouteria gongrijpii,Sapotaceae,16.2,7.13,12.69,S,2
T04,74,iperana,Eperua bijuga,Fabaceae,58.1,19.93,32.91,C,2
T04,75,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,23.34,36.4,S,2
T04,78,abiurana,Pouteria gongrijpii,Sapotaceae,33.8,11.6,25.65,C,2
T04,79,jatereu,Lecythis idatimon,Lecythidaceae,37.1,14.82,24.23,C,2
T04,80,capueiro,Rinorea guianensis,Violaceae,21.1,13.29,18.08,S,2
T04,83,matamata preto,Eschweilera ovata,Lecythidaceae,51.8,19.29,25.71,C,2
T04,85,iperana,Eperua bijuga,Fabaceae,17.7,15.84,19.93,C,2
T04,86,muirapiranga,Brosimum rubescens,Moraceae,22.2,15.86,21.41,C,2
T04,87,matamata branco,Eschweilera coriacea,Lecythidaceae,39.1,19.8,28.91,C,2
T04,89,seringarana,Micrandra minor,Euphorbiaceae,57.6,21.73,35.67,C,2
T04,90,abiurana,Pouteria gongrijpii,Sapotaceae,18.4,15.59,22.88,S,3
T04,91,matamata,Eschweilera parviflora,Lecythidaceae,20.4,14.57,21.31,S,3
T04,93,macucu,Licania guianensis,Chrysobalanaceae,13.1,8.81,15.87,S,3
T04,94,matamata branco,Eschweilera coriacea,Lecythidaceae,61.7,22.3,32.7,C,2
T04,95,casca seca,Licania canescens,Chrysobalanaceae,10.6,8.52,13.32,S,3
T04,96,copaiba,Copaifera reticulata,Fabaceae,48.7,17.17,29.63,C,2
T04,97,jatereu,Lecythis idatimon,Lecythidaceae,11.8,6.72,14.13,S,2
T04,99,barrote,Tetragastris altissima,Burseraceae,45.6,19.21,30.84,C,2
T04,100,jatereu,Lecythis idatimon,Lecythidaceae,74,4.32,7.77,S,3
T04,102,breu vermelho,Protium hebetatum,Burseraceae,46.9,11.43,18.01,C,2
T04,103,jatereu,Lecythis idatimon,Lecythidaceae,12.8,6.45,14.43,S,2
T04,104,macaranduba,Manilkara huberi,Sapotaceae,18.9,7.84,12.85,S,2
T04,107,macucu,Licania guianensis,Chrysobalanaceae,18.4,7.14,11.13,S,2
T04,108,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,14.53,21.73,C,2
T04,109,abiurana,Pouteria gongrijpii,Sapotaceae,16.6,7.9,12.26,S,2
T04,111,tachi preto,Tachigali myrmecophila,Fabaceae,60,19.74,45.45,E,1
T04,114,macucu,Licania guianensis,Chrysobalanaceae,24.4,9.63,24.46,C,2
T04,117,fava vermelha,Stryphnodendron pulcherrimum,Fabaceae,41,12.74,30.94,C,2
T04,118,seringarana,Micrandra minor,Euphorbiaceae,55.1,14.41,31.89,C,2
T04,119,matamata,Eschweilera parviflora,Lecythidaceae,10.8,7.58,12.25,S,3
T04,122,abiurana,Pouteria gongrijpii,Sapotaceae,27.5,15.43,24.38,C,2
T04,124,morta,NA,NA,50,NA,22.13,NA,NA
T04,125,abiurana,Pouteria gongrijpii,Sapotaceae,39.5,22.67,32.09,C,2
T04,127,pau santo,Zollernia paraensis,Fabaceae,69.2,17.33,35.88,C,2
T04,128,fava-bolacha,Vatairea guianensis,Fabaceae,60,22.65,32.34,S,2
T04,129,abiurana,Pouteria gongrijpii,Sapotaceae,11.1,9.7,19.43,S,3
T04,131,abiurana,Pouteria gongrijpii,Sapotaceae,17.7,11.4,29.53,S,3
T04,135,capueiro,Rinorea guianensis,Violaceae,21.1,11.13,22.61,S,2
T04,137,pintadinho,Poeppigia procera,Fabaceae,38.2,12.77,19.46,C,2
T04,138,barrote,Tetragastris altissima,Burseraceae,60.5,11.89,29.6,S,2
T04,140,matamata branco,Eschweilera coriacea,Lecythidaceae,30,10.27,18.06,S,2
T04,141,jatereu,Lecythis idatimon,Lecythidaceae,15.5,9.07,13.89,S,2
T04,142,capueiro,Rinorea guianensis,Violaceae,11.5,7.66,13.85,S,3
T04,143,matamata preto,Eschweilera ovata,Lecythidaceae,43,11.94,23.68,C,2
T04,144,matamata branco,Eschweilera coriacea,Lecythidaceae,23.7,13.74,21.41,S,2
T04,146,morta,NA,NA,46.8,NA,34.77,NA,NA
T04,147,morta,NA,NA,36.5,NA,27.64,NA,NA
T04,148,macaranduba,Manilkara huberi,Sapotaceae,36.1,19.78,28.27,C,2
T04,149,ucurana,Sloanea guianensis,Elaeocarpaceae,42.6,31.77,36.57,C,2
T04,150,uxi,Endopleura uchi,Humiriaceae,59.2,31.83,43.7,C,2
T04,151,abiurana,Pouteria gongrijpii,Sapotaceae,54.9,21.76,17.41,C,2
T04,152,timborana,Pseudopiptadenia suaveolens,Fabaceae,40,22.87,34.75,C,2
T04,153,matamata branco,Eschweilera coriacea,Lecythidaceae,45.7,17.59,39.64,C,2
T04,154,abiurana,Pouteria gongrijpii,Sapotaceae,45.5,16.06,27.34,C,2
T04,155,ucuuba,Virola michelii,Myristicaceae,40.7,22.42,33.15,C,2
T04,156,maracatiara,Astronium graveolens,Anacardiaceae,68.1,31.09,42.92,E,1
T04,157,macaranduba,Manilkara huberi,Sapotaceae,37.3,21.46,29.4,C,2
T04,158,casca seca,Licania canescens,Chrysobalanaceae,10.5,9.57,16.13,S,3
T04,159,muiratinga,Maquira coriacea,Moraceae,40.4,16.61,26.07,C,2
T04,160,breu vermelho,Protium hebetatum,Burseraceae,41.2,20.75,33.35,C,2
T04,161,breu barrote,Tetragastris panamensis,Burseraceae,48.9,18.27,29,C,2
T04,162,jatereu,Lecythis idatimon,Lecythidaceae,36.7,19.2,22.94,C,2
T04,163,morta,NA,NA,39.5,NA,3.78,NA,NA
T04,164,fava-paricana,Dimorphandra macrostachya,Fabaceae,10.7,10.35,15.12,S,2
T04,165,cupiuba,Goupia glabra,Goupiaceae,41.1,19.15,28.69,C,2
T04,166,iperana,Eperua bijuga,Fabaceae,43.5,18.5,28.11,C,2
T04,167,morta,NA,NA,35.5,NA,28.11,NA,NA
T04,168,caramuxi,Pouteria hispida,Sapotaceae,45,23.69,35.51,C,2
T04,169,caramuxi,Pouteria hispida,Sapotaceae,36.6,18.95,28.42,C,2
T04,170,morta,NA,NA,38.1,NA,25.82,NA,NA
T04,171,matamata branco,Eschweilera coriacea,Lecythidaceae,42.2,18.22,27.56,C,2
T04,172,iperana,Eperua bijuga,Fabaceae,41.1,14.09,30.82,C,2
T04,173,louro preto,Nectandra cuspidata,Lauraceae,46.6,26.6,35.07,C,2
T04,174,abiurana,Pouteria gongrijpii,Sapotaceae,39.9,17.51,24.76,C,2
T04,175,casca seca,Licania canescens,Chrysobalanaceae,42.9,29.74,36.81,S,2
T04,176,guajara-bolacha,Pouteria oppositifolia,Sapotaceae,50.4,28.32,42.2,C,2
T04,177,abiurana,Pouteria gongrijpii,Sapotaceae,54.4,22.1,29.08,C,2
T04,178,casca seca,Licania canescens,Chrysobalanaceae,46.6,28.6,37.86,C,2
T05,3,murta,NA,NA,10.4,NA,13.2,NA,NA
T05,5,freijo branco,Cordia scabrifolia,Boraginaceae,35.8,19.52,26.1,S,1
T05,6,ucuuba,Virola michelii,Myristicaceae,47.7,20.79,28.89,C,2
T05,7,jatereu,Lecythis idatimon,Lecythidaceae,10.2,6.75,18.78,S,3
T05,9,jatereu,Lecythis idatimon,Lecythidaceae,13.5,10.64,16.6,S,3
T05,10,tachirana,Stryphnodendron paniculatum,Fabaceae,86.3,29.42,41.06,E,1
T05,11,macucu,Licania guianensis,Chrysobalanaceae,21.5,10.65,20.28,S,2
T05,13,abiurana,Pouteria gongrijpii,Sapotaceae,23.3,16.85,26.2,S,1
T05,18,burangica,Galipea trifoliata,Rutaceae,16.3,4.22,7.22,S,3
T05,23,pau branco,Rinorea racemosa,Violaceae,20.4,8.68,20.85,S,2
T05,25,jatoba,Hymenaea courbaril,Fabaceae,13.4,11.97,16.03,S,2
T05,27,joao-mole,Neea oppositifolia,Nyctaginaceae,15.5,9.32,12.07,S,3
T05,29,guajara branco,Pouteria sp.,Sapotaceae,44.2,16.51,26.38,C,2
T05,31,inga,Inga marginata,Fabaceae,16.8,6.97,12.48,S,3
T05,33,jatereu,Lecythis idatimon,Lecythidaceae,12,4.77,8.2,S,3
T05,34,breu branco,Protium paniculatum,Burseraceae,16.2,7.04,10.97,S,3
T05,35,jatereu,Lecythis idatimon,Lecythidaceae,34,17.01,26.83,C,2
T05,36,morta,NA,NA,77.8,NA,31.17,NA,NA
T05,37,cucutitiriba,Pouteria sp.,Sapotaceae,19.8,11.21,16.65,S,2
T05,38,morta,NA,NA,12.5,NA,9.09,NA,NA
T05,39,cucutitiriba,Pouteria sp.,Sapotaceae,10,9.77,14.52,S,3
T05,43,louro preto,Nectandra cuspidata,Lauraceae,34.9,16.3,25.42,C,2
T05,46,murta,Strychnos subcordata,Loganiaceae,32.2,12.83,17.32,S,2
T05,47,cucutitiriba,Pouteria sp.,Sapotaceae,24.5,12.95,23.61,NA,NA
T05,49,breu barrote,Tetragastris panamensis,Burseraceae,40.5,16.06,31.54,C,1
T05,52,andiroba,Carapa guianensis,Meliaceae,11.7,10.46,15.1,S,3
T05,54,inga,Inga marginata,Fabaceae,11.8,10.01,14.63,S,3
T05,55,uxi,Endopleura uchi,Humiriaceae,19,13.92,23.26,C,2
T05,56,barrote,Tetragastris altissima,Burseraceae,45.5,22.52,38.86,C,1
T05,57,morta,NA,NA,27.5,NA,2.11,NA,NA
T05,60,tachi preto,Tachigali myrmecophila,Fabaceae,15,17.98,24.01,S,2
T05,62,cucutitiriba,Pouteria sp.,Sapotaceae,14.1,12.54,14.73,S,3
T05,63,jatereu,Lecythis idatimon,Lecythidaceae,23.5,17.3,25.05,S,2
T05,64,matamata,Eschweilera parviflora,Lecythidaceae,18.8,15.54,23.11,S,1
T05,65,morta,NA,NA,19.6,NA,6.9,NA,NA
T05,66,macaranduba,Manilkara huberi,Sapotaceae,86,33.04,51.01,E,1
T05,68,matamata,Eschweilera amazonica,Lecythidaceae,13.7,9.26,16.09,S,2
T05,73,papo-de-mutum,Lacunaria jenmanii,Ochnaceae,14,12.6,18.61,S,1
T05,74,caramuxi,Pouteria hispida,Sapotaceae,11.4,11.78,16.67,S,2
T05,75,abiurana,Pouteria gongrijpii,Sapotaceae,62,19.2,29.1,S,1
T05,76,inga,Inga marginata,Fabaceae,36.7,9.95,19.09,S,2
T05,78,envira preta,Guatteria schomburgkiana,Annonaceae,22.6,7.47,12.63,S,1
T05,81,jatereu,Lecythis idatimon,Lecythidaceae,39.2,19.93,30.51,C,1
T05,83,abiurana,Pouteria gongrijpii,Sapotaceae,69.5,29.68,41.11,E,1
T05,87,jatereu,Lecythis idatimon,Lecythidaceae,10.1,10.47,15.11,S,3
T05,88,capueiro,Rinorea guianensis,Violaceae,16.6,14.12,23.86,S,2
T05,90,matamata,Eschweilera parviflora,Lecythidaceae,13.8,8.57,16.26,S,2
T05,92,breu branco,Protium paniculatum,Burseraceae,15.2,9.16,18.56,S,3
T05,95,breu branco,Protium paniculatum,Burseraceae,12,7.81,13.63,S,2
T05,96,morta,NA,NA,80.8,NA,11.34,NA,NA
T05,97,jatereu,Lecythis idatimon,Lecythidaceae,23.9,14.73,22.61,E,2
T05,99,timborana,Pseudopiptadenia suaveolens,Fabaceae,39.3,20.63,31.81,E,1
T05,103,matamata,Eschweilera amazonica,Lecythidaceae,15.7,13.25,25.14,S,1
T05,105,mato,NA,NA,10.6,4.24,7.26,S,2
T05,109,abiurana,Pouteria gongrijpii,Sapotaceae,11,10.63,14.96,S,2
T05,110,morta,NA,NA,18,NA,4.66,NA,NA
T05,113,acoita-cavalo,Luehea speciosa,Malvaceae,50,13.37,22.82,C,1
T05,114,caramuxi,Pouteria hispida,Sapotaceae,50.5,19.78,33.43,C,1
T05,116,morta,NA,NA,21.5,NA,6.77,NA,NA
T05,123,matamata,Eschweilera amazonica,Lecythidaceae,15.7,11.7,21.75,S,1
T05,124,goiabao,Pradosia cochlearia,Sapotaceae,65.3,21.85,36.52,S,1
T05,127,matamata,Eschweilera amazonica,Lecythidaceae,24.4,20.85,32.01,C,1
T05,128,guajara-mirim,Pouteria sp.,Sapotaceae,63.5,22.7,32.55,C,1
T05,129,morta,NA,NA,46,NA,16.64,NA,NA
T05,130,jatereu,Lecythis idatimon,Lecythidaceae,14.9,9.14,13.9,S,2
T05,134,maracatiara,Astronium graveolens,Anacardiaceae,110.5,31.61,52.75,C,1
T05,135,matamata,Eschweilera parviflora,Lecythidaceae,11.9,8.48,12.39,S,2
T05,137,morta,NA,NA,45.8,NA,25.63,NA,NA
T05,139,pau-de-remo,Chimarrhis turbinata,Rubiaceae,13.7,7.2,12.84,S,2
T05,140,pau-de-remo,Chimarrhis turbinata,Rubiaceae,10.6,7.2,12.84,S,2
T05,145,louro preto,Nectandra cuspidata,Lauraceae,13.5,5.7,16.86,S,2
T05,147,tachi preto,Tachigali myrmecophila,Fabaceae,10.6,14.24,16.94,S,1
T05,149,cucutitiriba,Pouteria sp.,Sapotaceae,13.1,6.64,10.7,S,1
T05,150,goiabao,Pradosia cochlearia,Sapotaceae,15.9,10.44,15.43,S,1
T05,151,louro preto,Nectandra cuspidata,Lauraceae,43,18.61,30.51,C,1
T05,152,burangica,Galipea trifoliata,Rutaceae,11.3,2.99,8.07,S,3
T05,153,abiurana,Pouteria gongrijpii,Sapotaceae,59.8,31.27,43.4,C,2
T05,155,gema-de-ovo,Aspidosperma parvifolium,Apocynaceae,12.9,8.74,18.23,S,3
T05,156,uxirana,Sacoglottis guianensis,Humiriaceae,17.2,18.9,25.25,S,3
T05,158,tento,Ormosia coccinea,Fabaceae,15.8,7.19,13.35,S,3
T05,160,barrote,Tetragastris altissima,Burseraceae,55.5,13.18,29.74,S,3
T05,161,balsamo,Myroxylon peruiferum,Fabaceae,11.5,10.39,16.12,S,3
T05,165,barrote,Tetragastris altissima,Burseraceae,56.8,13.1,22.8,S,2
T05,169,seringueira,Hevea brasiliensis,Euphorbiaceae,43.8,25.74,35.02,C,2
T05,170,jarana,Lecythis lurida,Lecythidaceae,38.6,22.47,30.73,C,2
T05,171,louro preto,Nectandra cuspidata,Lauraceae,11.6,7.28,10.58,C,2
T05,172,macaranduba,Manilkara huberi,Sapotaceae,36.9,19.34,23.99,C,2
T05,173,breu barrote,Tetragastris panamensis,Burseraceae,55,12.49,26.75,C,2
T05,174,breu barrote,Tetragastris panamensis,Burseraceae,52.3,16.81,30.87,C,2
T05,175,matamata branco,Eschweilera coriacea,Lecythidaceae,41.3,27.4,34.9,C,2
T05,176,matamata preto,Eschweilera ovata,Lecythidaceae,38.9,22.61,33.09,C,2
T05,177,abiurana,Pouteria gongrijpii,Sapotaceae,54.9,21.41,31.92,C,2
T05,178,embauba toren,Cecropia engleriana,Urticaceae,49,25.3,32.3,C,2
T05,179,fava-saboeiro,Abarema jupunba,Fabaceae,56.8,20.82,35.19,C,2
T05,180,pau-de-remo,Chimarrhis turbinata,Rubiaceae,42.9,15.06,23.99,S,2
T05,181,inga branco,Inga thibaudiana,Fabaceae,35.8,13.36,25.32,C,2
T05,182,abiurana,Pouteria gongrijpii,Sapotaceae,40.8,18.55,32.34,C,2
T05,183,castanha-sapucaia,Lecythis pisonis,Lecythidaceae,68,23.79,34.26,C,2
T05,184,jarana,Lecythis lurida,Lecythidaceae,43,18.37,29.02,C,2
T05,185,axixa,Sterculia pruriens,Malvaceae,39.1,17.95,29.83,C,2
T05,186,matamata branco,Eschweilera coriacea,Lecythidaceae,39,15.59,30.61,C,2
T05,187,morta,NA,NA,47.9,NA,30.87,NA,NA
T05,188,abiu cramuri,NA,NA,36.6,15.16,25.35,C,2
T05,189,matamata preto,Eschweilera ovata,Lecythidaceae,40.2,17.17,28.36,C,2
T05,190,matamata preto,Eschweilera ovata,Lecythidaceae,37,14.15,26.6,C,2
T05,191,araracanga,Aspidosperma spruceanum,Apocynaceae,35,28.04,39.75,C,2
T05,192,jatereu,Lecythis idatimon,Lecythidaceae,36,26.17,33.18,C,2
T05,193,pau-de-macaco,Apeiba membranacea,Malvaceae,41.7,8.24,15.54,S,2
T05,194,maracatiara,Astronium graveolens,Anacardiaceae,40.4,34.77,41.04,C,2
T05,195,pau-de-macaco,Apeiba membranacea,Malvaceae,35.6,18.44,25.64,C,2
T05,196,breu vermelho,Protium hebetatum,Burseraceae,59.5,23.27,34.36,C,2
T05,197,matamata branco,Eschweilera coriacea,Lecythidaceae,46.8,15.87,28.98,C,2
T05,198,matamata preto,Eschweilera ovata,Lecythidaceae,35.4,23.16,31.44,C,2
T05,200,morta,NA,NA,38.3,NA,28.27,NA,NA
T06,3,parajuba,Manilkara bidentata,Sapotaceae,42.9,19.38,32.65,C,1
T06,7,jutai,Hymenaea parvifolia,Fabaceae,49.9,34.93,45.42,E,1
T06,8,tauari,Couratari stellata,Lecythidaceae,65,31.19,51.1,E,1
T06,10,abiurana,Pouteria gongrijpii,Sapotaceae,13.6,12.32,19.52,S,2
T06,12,abiurana,Pouteria gongrijpii,Sapotaceae,31.4,21.06,33.96,C,2
T06,13,iperana,Eperua bijuga,Fabaceae,35.3,16.25,25.66,S,1
T06,14,jatereu,Lecythis idatimon,Lecythidaceae,16.6,10.65,16.6,S,2
T06,15,matamata,Eschweilera parviflora,Lecythidaceae,60.2,21.21,37.26,C,2
T06,17,matamata,Eschweilera parviflora,Lecythidaceae,67,26.46,42.67,C,1
T06,22,matamata,Eschweilera amazonica,Lecythidaceae,15.5,13.01,21.71,S,2
T06,23,matamata,Eschweilera amazonica,Lecythidaceae,50.4,19.59,33.12,C,1
T06,25,matamata,Eschweilera parviflora,Lecythidaceae,36.5,19.56,27.18,S,2
T06,26,matamata,Eschweilera parviflora,Lecythidaceae,50,23.78,36.7,C,2
T06,27,breu branco,Protium paniculatum,Burseraceae,13.9,10.1,18.74,S,2
T06,28,matamata,Eschweilera parviflora,Lecythidaceae,47.1,16.42,37.95,C,2
T06,31,barrote,Tetragastris altissima,Burseraceae,31.7,16.39,23.87,S,2
T06,33,parajuba,Manilkara bidentata,Sapotaceae,108.8,32.07,50.3,E,1
T06,35,barrote,Tetragastris altissima,Burseraceae,57.1,23.52,37.93,C,1
T06,36,capueiro,Rinorea guianensis,Violaceae,10.7,6.34,15,S,2
T06,37,matamata,Eschweilera parviflora,Lecythidaceae,29.6,22.64,27.74,S,2
T06,38,ucuuba,Virola michelii,Myristicaceae,37.8,22.98,33.37,S,1
T06,39,morta,NA,NA,40,NA,14.88,NA,NA
T06,41,iperana,Eperua bijuga,Fabaceae,31.8,16.29,26.64,S,1
T06,42,abiurana,Pouteria gongrijpii,Sapotaceae,11.7,8.37,14.86,S,1
T06,44,abiurana,Pouteria gongrijpii,Sapotaceae,35,NA,12.34,S,1
T06,47,pau santo,Zollernia paraensis,Fabaceae,23.5,10.57,23.73,S,3
T06,49,abiurana,Pouteria gongrijpii,Sapotaceae,37.8,16.47,29.49,S,2
T06,50,tachirana,Stryphnodendron paniculatum,Fabaceae,49.7,20.74,30.58,E,1
T06,51,jatereu,Lecythis idatimon,Lecythidaceae,12.5,12.21,18.95,S,1
T06,53,louro preto,Ocotea cernua,Lauraceae,27.2,16.89,24.77,S,3
T06,56,guajara,Pouteria sp.,Sapotaceae,67.4,19.74,31.59,C,1
T06,59,louro preto,Ocotea cernua,Lauraceae,50.1,20.07,32.1,S,1
T06,60,jatereu,Lecythis idatimon,Lecythidaceae,13.6,8.71,10.69,S,3
T06,61,goiabao,Pradosia cochlearia,Sapotaceae,19.4,15.42,22.13,S,3
T06,62,matamata,Eschweilera parviflora,Lecythidaceae,50,17.96,33.17,S,1
T06,63,matamata,Eschweilera amazonica,Lecythidaceae,28.5,14.85,27.77,S,3
T06,64,caramuxi,Pouteria hispida,Sapotaceae,16.2,13.45,20.95,S,3
T06,65,barrote,Tetragastris altissima,Burseraceae,66.2,13.56,31.26,C,2
T06,66,barrote,Tetragastris altissima,Burseraceae,52.6,18.52,36.35,C,2
T06,69,iperana,Eperua bijuga,Fabaceae,13.1,10,16.44,S,3
T06,70,barrote vermelho,Tetragastris sp.,Burseraceae,66.2,20.97,33.9,C,2
T06,71,jatereu,Lecythis idatimon,Lecythidaceae,17.6,13.72,18.65,S,3
T06,73,louro preto,Nectandra cuspidata,Lauraceae,23.5,13.89,19.44,S,1
T06,75,inga amarelo,Inga sp.,Fabaceae,11.1,4.6,6.81,S,1
T06,76,guajara,Pouteria sp.,Sapotaceae,42,18.93,34.78,C,1
T06,78,matamata,Eschweilera amazonica,Lecythidaceae,10.1,7.28,12.28,S,3
T06,80,jatereu,Lecythis idatimon,Lecythidaceae,14,10.47,15.11,S,3
T06,88,macaranduba,Manilkara huberi,Sapotaceae,20.5,17.84,27.54,C,1
T06,90,abiurana,Pouteria gongrijpii,Sapotaceae,55.1,20.94,33.09,S,1
T06,91,abiurana,Pouteria gongrijpii,Sapotaceae,11.6,7.59,13.2,S,3
T06,95,arataciu,Sagotia racemosa,Euphorbiaceae,13.7,11.63,17.29,S,2
T06,96,jatereu,Lecythis idatimon,Lecythidaceae,14.3,9.8,17.49,S,3
T06,99,canela-de-jacamim,Rinorea pubiflora,Violaceae,14.1,4.64,14.33,S,3
T06,100,morta,NA,NA,11.8,NA,6.43,NA,NA
T06,101,matamata,Eschweilera parviflora,Lecythidaceae,16.4,16.11,19.87,S,3
T06,102,breu barrote,Tetragastris panamensis,Burseraceae,11.7,8.72,12.76,S,3
T06,103,canela-de-jacamim,Rinorea pubiflora,Violaceae,16.7,3.95,14.81,S,3
T06,107,abiurana,Pouteria gongrijpii,Sapotaceae,33.5,15.72,19.3,S,1
T06,110,envira preta,Guatteria schomburgkiana,Annonaceae,16.9,11.77,18.64,S,1
T06,112,matamata,Eschweilera parviflora,Lecythidaceae,20.3,14.99,18.59,S,3
T06,113,andirobarana,Guarea guidonia,Meliaceae,28,10.24,24.44,S,2
T06,114,tento,Ormosia grossa,Fabaceae,10.3,9.48,15.58,S,3
T06,115,matamata,Eschweilera parviflora,Lecythidaceae,36.8,16.24,24.21,S,2
T06,120,burangica,Galipea trifoliata,Rutaceae,14.2,7.99,12,S,2
T06,121,jarana,Lecythis lurida,Lecythidaceae,86.8,21.1,34.57,C,1
T06,125,abiurana,Pouteria gongrijpii,Sapotaceae,45,23.23,38.76,C,1
T06,129,barrote,Tetragastris altissima,Burseraceae,65.5,22.87,31.04,C,1
T06,131,cucutitiriba,Pouteria sp.,Sapotaceae,11.1,8.79,20.01,S,2
T06,132,goiabinha,Myrcia splendens,Myrtaceae,14.8,10.89,14.22,S,3
